0
         1267159 function calls (1249907 primitive calls) in 1.599 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       98    0.000    0.000    0.001    0.000 common.py:30(_unpack_zerodim_and_defer)
     2291    0.000    0.000    0.000    0.000 inspect.py:2521(default)
     1069    0.000    0.000    0.000    0.000 typing.py:613(<genexpr>)
      593    0.000    0.000    0.012    0.000 __init__.py:1104(<genexpr>)
        5    0.000    0.000    0.000    0.000 {built-in method gi._gi.enum_add}
       12    0.000    0.000    0.000    0.000 {method 'require' of 'gi.Repository' objects}
       65    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       40    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
        1    0.000    0.000    0.261    0.261 pyplot.py:19(<module>)
       91    0.000    0.000    0.002    0.000 typing.py:744(__getitem__)
       15    0.000    0.000    0.010    0.001 _distn_infrastructure.py:2827(__init__)
     72/4    0.000    0.000    0.001    0.000 pyparsing.py:1829(_parseCache)
  263/261    0.000    0.000    0.000    0.000 pyparsing.py:554(__init__)
      219    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      145    0.000    0.000    0.002    0.000 typing.py:633(copy_with)
        7    0.000    0.000    0.002    0.000 nonlin.py:1531(_nonlin_wrapper)
      602    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      110    0.000    0.000    0.003    0.000 rcsetup.py:94(<listcomp>)
      104    0.000    0.000    0.004    0.000 __init__.py:324(strip_boolean_result)
      183    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
      640    0.000    0.000    0.001    0.000 re.py:252(escape)
     1262    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       65    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        3    0.000    0.000    0.009    0.003 numeric.py:1(<module>)
      244    0.000    0.000    0.000    0.000 _distn_infrastructure.py:710(<genexpr>)
      151    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      186    0.000    0.000    0.000    0.000 {method 'get_methods' of 'StructInfo' objects}
       56    0.000    0.000    0.000    0.000 inspect.py:3035(__str__)
     1553    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
